Year,Industry_EE_Saving_pct,Services_EE_Saving_pct,Industry_EE_Investment_USDm,Services_EE_Investment_USDm,PV_Integration_Gain_pct,BESS_Annual_Investment_USDbn,RTS_Industry_Investment_USDm,RTS_Services_Investment_USDm,RTS_Household_Investment_USDm
2026,2,1.5,180,38,0.5,0.72,NaN,NaN,NaN
2027,3.35,2.4,187.5,40.25,1.125,1.17075,NaN,NaN,NaN
2028,4.7,3.3,195,42.5,1.75,1.0815,NaN,NaN,NaN
2029,6.05,4.2,202.5,44.75,2.375,0.99225,NaN,NaN,NaN
2030,7.4,5.1,210,47,3,0.903,NaN,NaN,NaN
2031,7.56,5.21,211.5,47.5,3.4,0.834,NaN,NaN,NaN
2032,7.72,5.32,213,48,3.8,0.808,NaN,NaN,NaN
2033,7.88,5.43,214.5,48.5,4.2,0.782,NaN,NaN,NaN
2034,8.04,5.54,216,49,4.6,0.756,NaN,NaN,NaN
2035,8.2,5.65,217.5,49.5,5,0.73,NaN,NaN,NaN
2036,8.36,5.76,219,50,5.4,0.704,NaN,NaN,NaN
2037,8.52,5.87,220.5,50.5,5.8,0.678,NaN,NaN,NaN
2038,8.68,5.98,222,51,6.2,0.652,NaN,NaN,NaN
2039,8.84,6.09,223.5,51.5,6.6,0.626,NaN,NaN,NaN
2040,9,6.2,225,52,7,0.6,NaN,NaN,NaN
2041,9.1,6.28,225.5,52.3,7.3,0.882,NaN,NaN,NaN
2042,9.2,6.36,226,52.6,7.6,0.864,NaN,NaN,NaN
2043,9.3,6.44,226.5,52.9,7.9,0.846,NaN,NaN,NaN
2044,9.4,6.52,227,53.2,8.2,0.828,NaN,NaN,NaN
2045,9.5,6.6,227.5,53.5,8.5,0.81,NaN,NaN,NaN
2046,9.6,6.68,228,53.8,8.8,0.792,NaN,NaN,NaN
2047,9.7,6.76,228.5,54.1,9.1,0.774,NaN,NaN,NaN
2048,9.8,6.84,229,54.4,9.4,0.756,NaN,NaN,NaN
2049,9.9,6.92,229.5,54.7,9.7,0.738,NaN,NaN,NaN
2050,10,7,230,55,10,0.72,NaN,NaN,NaN
