Year,Industry_EE_Saving_pct,Services_EE_Saving_pct,Industry_EE_Investment_USDm,Services_EE_Investment_USDm,PV_Integration_Gain_pct,BESS_Annual_Investment_USDbn,RTS_Industry_Investment_USDm,RTS_Services_Investment_USDm,RTS_Household_Investment_USDm,Directive10_Saving_Industry_pct,Directive10_Saving_Services_pct,NonRTS_Saving_Industry_pct,NonRTS_Saving_Services_pct,Baseline_RTS_coupling_Industry,Baseline_RTS_coupling_Services,Net_dAI_Industry,Net_dAI_Services
2026,1.70000000000001,1.035,180,38,0,0,0,0,0,2,1.5,1.7,1.035,0,0,0.0171461588349706,0.0104039337153929
2027,2.52984691865563,1.38104835002879,187.5,40.25,0,0,0,0,-802.54003313086,3.35,2.4,2.8475,1.656,0.00326430000189483,0.00279191417743273,0.02562397709189,0.0139067354456188
2028,2.97501064423901,1.3901568245878,195,42.5,0,0,0,0,-953.787962451696,4.7,3.3,3.995,2.277,0.0105682941039363,0.00903414011383319,0.0302016184392753,0.0139990999968858
2029,1.75900141202602,-0.0498417235818227,202.5,44.75,0,0,0,0,-3648.47045831036,6.05,4.2,5.1425,2.898,0.0350478636527631,0.0299065066477904,0.0177465568610546,-0.000498293067204492
2030,-1.94282510147969,-3.64144845345287,210,47,0,0,0,0,-5862.15367200434,7.4,5.1,6.29,3.519,0.0842072107674707,0.0715912336435009,-0.0192419319151117,-0.0357671454230246
2031,-2.29601484740429,-4.17840652367283,211.5,47.5,0,0,0,0,5540.39683423173,7.56,5.21,6.426,3.5949,0.0891181495320729,0.0775457720037236,-0.0227005306623573,-0.0409346907970504
2032,-2.5779979615552,-4.67283932900404,213,48,0,0,0,0,-639.067816640305,7.72,5.32,6.562,3.6708,0.0933253501796844,0.0830681780327329,-0.0254532789328497,-0.0456694839940562
2033,-2.7929199266634,-5.12559130148491,214.5,48.5,0,0,0,0,-666.588877485536,7.88,5.43,6.698,3.7467,0.0968749344897669,0.0881724847294423,-0.0275462923524451,-0.0499855570357885
2034,-2.94496751107529,-5.5376012592586,216,49,0,0,0,0,-694.384026731409,8.04,5.54,6.834,3.8226,0.0998117011673028,0.092872896620508,-0.0290243634455914,-0.0538971134694246
2035,-3.03832428461561,-5.90989211476707,217.5,49.5,0,0,0,0,-722.453264377144,8.2,5.65,6.97,3.8985,0.102178977677571,0.0971837336096247,-0.0299308134699472,-0.0574184722168598
2036,-4.06007621736741,-7.19681062122681,219,50,0,0,0,0,-3101.17313608889,8.36,5.76,7.106,3.9744,0.113509330140465,0.110051673941185,-0.0397982023105403,-0.0694963105383602
2037,-4.95884851175559,-8.41559795033433,220.5,50.5,0,0,0,0,-1279.8775201876,8.52,5.87,7.242,4.0503,0.123574403264355,0.122147875364399,-0.0483981684134727,-0.0808017851966768
2038,-5.73790272560564,-9.56496681695418,222,51,0,0,0,0,-1338.35042972799,8.68,5.98,7.378,4.1262,0.132436721925284,0.133484934273759,-0.0557932303649515,-0.0913474915974962
2039,-6.40124931353074,-10.6439886066796,223.5,51.5,0,0,0,0,-1397.40130973041,8.84,6.09,7.514,4.2021,0.140160036794877,0.144076972951656,-0.0620471325190419,-0.10114755103206
2040,-6.95352856054057,-11.6520884988595,225,52,0,0,0,0,-1457.0301601952,9,6.2,7.65,4.278,0.146808720957346,0.153939526781124,-0.0672242416145038,-0.110217497889891
2041,-7.63220898228048,-12.8011511715315,225.5,52.3,0,0,0,0,-2016.21741565143,9.1,6.28,7.735,4.3332,0.154055071589988,0.164755223614499,-0.0735497569303377,-0.12045635844517
2042,-8.19820135032632,-13.8745480049961,226,52.6,0,0,0,0,-1684.06722108871,9.2,6.36,7.82,4.3884,0.16022155560224,0.174803234743055,-0.0787945569065109,-0.129927200363483
2043,-8.65695666662038,-14.8719412415585,226.5,52.9,0,0,0,0,-1751.66965961948,9.3,6.44,7.905,4.4436,0.165375079906415,0.184101304398051,-0.0830255468893899,-0.138647767491548
2044,-9.01431439343763,-15.7933681170288,227,53.2,0,0,0,0,-1819.91256222922,9.4,6.52,7.99,4.4988,0.169581931522976,0.192668480499575,-0.0863090123291544,-0.14663710736425
2045,-9.27638814253484,-16.6392240323641,227.5,53.5,0,0,0,0,-1888.79592891766,9.5,6.6,8.075,4.554,0.172907316684605,0.200524973030264,-0.0887101578838491,-0.153915429578352
2046,-8.42502685226525,-16.1485064422271,228,53.8,0,0,0,0,1802.40454658706,9.6,6.68,8.16,4.6092,0.166011004807651,0.196887462518264,-0.0808887513908154,-0.149699414275458
2047,-7.59906238816974,-15.6572257176812,228.5,54.1,0,0,0,0,-1230.66886482181,9.7,6.76,8.245,4.6644,0.159289952462487,0.193227567817282,-0.0732417478370333,-0.14546067992206
2048,-6.79796372994519,-15.1660924970288,229,54.4,0,0,0,0,-1254.73231499312,9.8,6.84,8.33,4.7196,0.152743688171633,0.189551245782122,-0.0657686741572257,-0.141205182985076
2049,-6.02117224660819,-14.6757626957816,229.5,54.7,0,0,0,0,-1278.97952595863,9.9,6.92,8.415,4.7748,0.146371309530422,0.185864078743214,-0.0584686263545111,-0.136938505406374
2050,-5.26810826332453,-14.1868402472802,230,55,0,0,0,0,-1303.41049771865,10,7,8.5,4.83,0.140171535489944,0.182171290235685,-0.0513403217833282,-0.132665870331846
