Year,Industry_EE_Saving_pct,Services_EE_Saving_pct,Industry_EE_Investment_USDm,Services_EE_Investment_USDm,PV_Integration_Gain_pct,BESS_Annual_Investment_USDbn,RTS_Industry_Investment_USDm,RTS_Services_Investment_USDm,RTS_Household_Investment_USDm
2026,0.4,0.3,0,0,0,0,1081.86739069462,228.394226924419,0
2027,0.795625,0.57,0,0,0,0,629.241995289054,135.077281655384,0
2028,1.222,0.858,0,0,0,0,627.546353701748,136.772923242689,0
2029,1.66375,1.155,0,0,0,0,625.984443200196,138.334833744241,0
2030,2.11428571428571,1.45714285714286,0,0,0,0,518.085183744173,115.952398266553,0
2031,2.03538461538462,1.40269230769231,0,0,0,0,126.727160693943,28.4611826617603,0
2032,1.97488372093023,1.36093023255814,0,0,0,0,124.629860005318,28.0856022547195,0
2033,1.92808510638298,1.3286170212766,0,0,0,0,122.536249656871,27.7063315074977,0
2034,1.89176470588235,1.30352941176471,0,0,0,0,120.446246093736,27.3234539749678,0
2035,1.86363636363636,1.28409090909091,0,0,0,0,118.359768264551,26.9370507084841,0
2036,1.84203389830508,1.26915254237288,0,0,0,0,116.276737528415,26.5472003489533,0
2037,1.82571428571429,1.25785714285714,0,0,0,0,114.197077565924,26.1539792157785,0
2038,1.81373134328358,1.24955223880597,0,0,0,0,112.120714294138,25.7574613918966,0
2039,1.80535211267606,1.2437323943662,0,0,0,0,110.047575785263,25.3577188051053,0
2040,1.8,1.24,0,0,0,0,93.4819702237603,21.6047220072691,0
2041,1.73885350318471,1.2,0,0,0,0,0,0,0
2042,1.68292682926829,1.16341463414634,0,0,0,0,0,0,0
2043,1.63157894736842,1.12982456140351,0,0,0,0,0,0,0
2044,1.58426966292135,1.09887640449438,0,0,0,0,0,0,0
2045,1.54054054054054,1.07027027027027,0,0,0,0,0,0,0
2046,1.5,1.04375,0,0,0,0,0,0,0
2047,1.46231155778894,1.01909547738693,0,0,0,0,0,0,0
2048,1.42718446601942,0.996116504854369,0,0,0,0,0,0,0
2049,1.3943661971831,0.974647887323944,0,0,0,0,0,0,0
2050,1.36363636363636,0.954545454545454,0,0,0,0,0,0,0
