Year,Industry_EE_Saving_pct,Services_EE_Saving_pct,Industry_EE_Investment_USDm,Services_EE_Investment_USDm,PV_Integration_Gain_pct,BESS_Annual_Investment_USDbn,RTS_Industry_Investment_USDm,RTS_Services_Investment_USDm,RTS_Household_Investment_USDm,RTS_GW_135,RTS_GW_95,eta_ind_A,eta_ind_B,eta_ser_A,eta_ser_B,dGA4,dGA5,dPV
2026,0,0,0,0,0,0,0,0,0,9.055,12,0,0,0,0,0,0,0
2027,0.649185109031492,0.553812902442508,0,0,0,0,711.41830020246,711.418300202473,711.418300202473,10.355,15.25,0.00326430000189483,0.0097773148016564,0.00279191417743273,0.00834543549437657,0.00165446116326154,0.00165446116326156,0.00165446116326156
2028,0.821982796804477,0.69962085900056,0,0,0,0,-10.7198256027919,-10.719825602803,-650.996295785029,12.94,18.5,0.0105682941039363,0.0188220911325188,0.00903414011383319,0.0160549369211337,0.00146408521995215,0.00146408521995215,-2.49298269832632e-05
2029,-0.791610130784304,-0.677407589529655,0,0,0,0,-3340.1870513528,-3340.18705135288,-3330.53920831036,20.905,21.75,0.0350478636527631,0.0271629302971513,0.0299065066477904,0.0231552717117038,-0.00645020016565424,-0.00645020016565443,-0.00776787686361136
2030,-5.06179482683482,-4.28090556259499,0,0,0,0,-8535.25118488869,-8535.2511848886,-5529.082838671,36.734,25,0.0842072107674707,0.0348286975489571,0.0715912336435009,0.0296731466512253,-0.0256546015092951,-0.025654601509295,-0.019849421360206
2031,-4.83213648610556,-4.14311242998915,0,0,0,0,-1432.3682041763,-1587.37239513312,6094.35367126663,40.0348,28.5,0.0891181495320729,0.0419279647796688,0.0775457720037236,0.0369499237247064,-0.0264202302052872,-0.0267807050679774,-0.00369156370961189
2032,-4.61194191004541,-4.00848581306166,0,0,0,0,-1459.73036966036,-1641.27328084456,-212.638125224763,43.3356,32,0.0933253501796844,0.0482378236535031,0.0830681780327329,0.0437658738517278,-0.0271729289746663,-0.0279195491677949,-0.00381691460661527
2033,-4.40122623116501,-3.87711884311954,0,0,0,0,-1486.5365483002,-1695.72200982469,-218.576057064583,46.6364,35.5,0.0968749344897669,0.0538036995890544,0.0881724847294423,0.0501340197415868,-0.0279126978174327,-0.0290711338087473,-0.00394353955773184
2034,-4.19994764263447,-3.74909004950035,0,0,0,0,-1512.78674009541,-1750.71858207387,-224.568773231649,49.9372,39,0.0998117011673028,0.0586702603061726,0.092872896620508,0.0560676941434793,-0.0286395367335857,-0.0302354589908351,-0.00407143856296249
2035,-4.00801375272641,-3.62446377618901,0,0,0,0,-1538.48094504652,-1806.26299759163,-230.616273725148,53.238,42.5,0.102178977677571,0.0628812121782213,0.0971837336096247,0.0615804808124463,-0.029353445723126,-0.0314125247140577,-0.00420061162230612
2036,-4.81536675078824,-4.43195411902582,0,0,0,0,-3730.31132873417,-4212.7318020437,-2587.09510421123,60.1984,46,0.113509330140465,0.0664791256892254,0.110051673941185,0.0666861573747804,-0.0350932437757766,-0.0380683229450791,-0.0097970507024272
2037,-5.55575536769823,-5.20590405667209,0,0,0,0,-3940.72285604413,-4534.7977648502,-743.339143010879,67.1588,49.5,0.123574403264355,0.06950528903873,0.122147875364399,0.0713986404119618,-0.0407483911564411,-0.0448075319641763,-0.0105460413136051
2038,-6.230081222742,-5.9453279742202,0,0,0,0,-4147.4944044587,-4860.45039154395,-779.132403178767,74.1192,53,0.132436721925284,0.0719995885284854,0.133484934273759,0.0757319330349688,-0.0463188878651196,-0.0516301517713493,-0.0113033730035906
2039,-6.83972440518263,-6.64942823474011,0,0,0,0,-4350.625973978,-5189.68968212486,-815.284329735312,81.0796,56.5,0.140160036794877,0.0740004140542445,0.144076972951656,0.0797000751737483,-0.0518047339018123,-0.0585361823665977,-0.0120690457723834
