Year,EE_Intensity_Improvement_Industry_pct,EE_Intensity_Improvement_Commercial_pct,EE_Investment_Cost_Industry_USDm_yr,EE_Investment_Cost_Commercial_USDm_yr,RTS_Capacity_Addition_Industry_MW_yr,RTS_Capacity_Addition_Commercial_MW_yr,RTS_Investment_Cost_Industry_USDm_yr,RTS_Investment_Cost_Commercial_USDm_yr,RTS_Grid_Integration_Gain_pct,RTS_Grid_Integration_Investment_USDbn_yr,EE_Source_Industry,EE_Source_Commercial,RTS_Capacity_Source,RTS_Cost_Basis
2026,2.0,1.8,150,40,50,30,120,60,3.0,0.5,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2027,2.1,1.9,155,42,55,32,125,62,3.2,0.6,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2028,2.2,2.0,160,44,60,34,130,64,3.4,0.7,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2029,2.3,2.1,165,46,65,36,135,66,3.6,0.8,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2030,2.4,2.2,170,48,70,38,140,68,3.8,0.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2031,2.5,2.3,172,49,72,39,142,69,4.0,1.0,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2032,2.6,2.4,174,50,74,40,144,70,4.2,1.1,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2033,2.7,2.5,176,51,76,41,146,71,4.4,1.2,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2034,2.8,2.6,178,52,78,42,148,72,4.6,1.3,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2035,2.9,2.7,180,53,80,43,150,73,4.8,1.4,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2036,3.0,2.8,182,54,82,44,152,74,5.0,1.5,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2037,3.1,2.9,184,55,84,45,154,75,5.1,1.6,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2038,3.2,3.0,186,56,86,46,156,76,5.2,1.7,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2039,3.3,3.1,188,57,88,47,158,77,5.3,1.8,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2040,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2041,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2042,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2043,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2044,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2045,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2046,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2047,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2048,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2049,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
2050,3.4,3.2,190,58,90,48,160,78,5.4,1.9,"IEA ECBCS 2024","IEA ECBCS 2024","PDP8 Annex Table 4.2.1","NREL PVDB 2026"
