"","Year","Tech","CAPEX_kUSD_MW","CAPEX_kUSD_MW_lwr","CAPEX_kUSD_MW_upr"
"1",2020,"Coal subcritical",1622,NA,NA
"2",2020,"Coal supercritical",1789,1634,1944
"3",2020,"Coal ultra-supercritical",2027,1897,2157
"4",2020,"Coal AUSC",NA,NA,NA
"5",2020,"Coal CCS",4307,NA,NA
"6",2020,"SteamTur-Super-NH3",2270,NA,NA
"7",2020,"Nuclear – PWR",7370,5470,9270
"8",2020,"Nuclear – SMR",6640,4740,8540
"9",2020,"CCGT - LNG",875,725,1025
"10",2020,"CCGT – H2",1065,915,1215
"11",2020,"CCGT- CCS- LNG",2643,2493,2793
"12",2020,"SCGT",665,515,815
"13",2020,"RICE",633,NA,NA
"14",2020,"Geothermal",5236,4236,6236
"15",2020,"Biomass",1990,1690,2290
"16",2020,"MSW",6404,NA,NA
"17",2020,"Coal_conv_biomassNH3_PVC",370,170,570
"18",2020,"Coal_CFB",1530,985,2075
"19",2020,"Coal_conv_biomassNH3_CFB",0,0,0
"20",2020,"Biomass_MSW",3906.90269716627,3737.18607033117,4076.61932400137
"21",2020,"Small hydro",1528,828,2228
"22",2020,"Onshore Wind",1625,1525,1725
"23",2020,"Near shore Wind",2287,2187,2387
"24",2020,"Wind offshore (fixed base)",3702,3452,3952
"25",2020,"Wind offshore (floating base)",6464,6214,6714
"26",2020,"Solar PV (Utility scale)",880,780,980
"27",2020,"Solar PV (Rooftop)",1027,927,1127
"28",2020,"Solar PV (Floating)",1026,926,1126
"29",2020,"Tidal",7227,NA,NA
"30",2020,"Solar PV (Weighted)",952.12053347222,852.12053347222,1052.12053347222
"31",2020,"Battery",1670,1670,1670
"32",2021,"Coal subcritical",1622,NA,NA
"33",2021,"Coal supercritical",1789,1634,1944
"34",2021,"Coal ultra-supercritical",2027,1897,2157
"35",2021,"Coal AUSC",NA,NA,NA
"36",2021,"Coal CCS",4307,NA,NA
"37",2021,"SteamTur-Super-NH3",2270,NA,NA
"38",2021,"Nuclear – PWR",7370,5470,9270
"39",2021,"Nuclear – SMR",6640,4740,8540
"40",2021,"CCGT - LNG",875,725,1025
"41",2021,"CCGT – H2",1065,915,1215
"42",2021,"CCGT- CCS- LNG",2643,2493,2793
"43",2021,"SCGT",665,515,815
"44",2021,"RICE",633,NA,NA
"45",2021,"Geothermal",5236,4236,6236
"46",2021,"Biomass",1990,1690,2290
"47",2021,"MSW",6404,NA,NA
"48",2021,"Coal_conv_biomassNH3_PVC",370,170,570
"49",2021,"Coal_CFB",1530,985,2075
"50",2021,"Coal_conv_biomassNH3_CFB",0,0,0
"51",2021,"Biomass_MSW",3906.90269716627,3737.18607033117,4076.61932400137
