Technology,Plan,Year,Capacity_MW
Batteries,PDP8,2000,NA
Batteries,PDP8,2001,NA
Batteries,PDP8,2002,NA
Batteries,PDP8,2003,NA
Batteries,PDP8,2004,NA
Batteries,PDP8,2005,NA
Batteries,PDP8,2006,NA
Batteries,PDP8,2007,NA
Batteries,PDP8,2008,NA
Batteries,PDP8,2009,NA
Batteries,PDP8,2010,NA
Batteries,PDP8,2011,NA
Batteries,PDP8,2012,NA
Batteries,PDP8,2013,NA
Batteries,PDP8,2014,NA
Batteries,PDP8,2015,NA
Batteries,PDP8,2016,NA
Batteries,PDP8,2017,NA
Batteries,PDP8,2018,NA
Batteries,PDP8,2019,NA
Batteries,PDP8,2020,NA
Batteries,PDP8,2021,NA
Batteries,PDP8,2022,NA
Batteries,PDP8,2023,NA
Batteries,PDP8,2024,NA
Batteries,PDP8,2025,0
Batteries,PDP8,2026,60
Batteries,PDP8,2027,120
Batteries,PDP8,2028,180
Batteries,PDP8,2029,240
Batteries,PDP8,2030,300
Batteries,PDP8,2031,1562.5
Batteries,PDP8,2032,2825
Batteries,PDP8,2033,4087.5
Batteries,PDP8,2034,5350
Batteries,PDP8,2035,6612.5
Batteries,PDP8,2036,7875
Batteries,PDP8,2037,9137.5
Batteries,PDP8,2038,10400
Batteries,PDP8,2039,11662.5
Batteries,PDP8,2040,12925
Batteries,PDP8,2041,14187.500000000002
Batteries,PDP8,2042,15450
Batteries,PDP8,2043,16712.5
Batteries,PDP8,2044,17975
Batteries,PDP8,2045,19237.5
Batteries,PDP8,2046,20500
Batteries,PDP8,2047,21762.5
Batteries,PDP8,2048,23025
Batteries,PDP8,2049,24287.5
Batteries,PDP8,2050,25550
Bioenergy,PDP8,2000,130
Bioenergy,PDP8,2001,130
Bioenergy,PDP8,2002,130
Bioenergy,PDP8,2003,130
Bioenergy,PDP8,2004,130
Bioenergy,PDP8,2005,130
Bioenergy,PDP8,2006,130
Bioenergy,PDP8,2007,130
Bioenergy,PDP8,2008,130
Bioenergy,PDP8,2009,130
Bioenergy,PDP8,2010,130
Bioenergy,PDP8,2011,130
Bioenergy,PDP8,2012,130
Bioenergy,PDP8,2013,130
Bioenergy,PDP8,2014,200
Bioenergy,PDP8,2015,220
Bioenergy,PDP8,2016,260
Bioenergy,PDP8,2017,270
Bioenergy,PDP8,2018,380
Bioenergy,PDP8,2019,380
Bioenergy,PDP8,2020,390
Bioenergy,PDP8,2021,370
Bioenergy,PDP8,2022,380
Bioenergy,PDP8,2023,380
Bioenergy,PDP8,2024,420
Bioenergy,PDP8,2025,NA
Bioenergy,PDP8,2026,NA
Bioenergy,PDP8,2027,NA
Bioenergy,PDP8,2028,NA
Bioenergy,PDP8,2029,NA
Bioenergy,PDP8,2030,NA
Bioenergy,PDP8,2031,NA
Bioenergy,PDP8,2032,NA
Bioenergy,PDP8,2033,NA
Bioenergy,PDP8,2034,NA
Bioenergy,PDP8,2035,NA
Bioenergy,PDP8,2036,NA
Bioenergy,PDP8,2037,NA
Bioenergy,PDP8,2038,NA
Bioenergy,PDP8,2039,NA
Bioenergy,PDP8,2040,NA
Bioenergy,PDP8,2041,NA
Bioenergy,PDP8,2042,NA
Bioenergy,PDP8,2043,NA
Bioenergy,PDP8,2044,NA
Bioenergy,PDP8,2045,NA
Bioenergy,PDP8,2046,NA
Bioenergy,PDP8,2047,NA
Bioenergy,PDP8,2048,NA
Bioenergy,PDP8,2049,NA
Bioenergy,PDP8,2050,NA
Biomass,PDP8,2000,NA
Biomass,PDP8,2001,NA
Biomass,PDP8,2002,NA
Biomass,PDP8,2003,NA
Biomass,PDP8,2004,NA
Biomass,PDP8,2005,NA
Biomass,PDP8,2006,NA
Biomass,PDP8,2007,NA
Biomass,PDP8,2008,NA
Biomass,PDP8,2009,NA
Biomass,PDP8,2010,NA
Biomass,PDP8,2011,NA
Biomass,PDP8,2012,NA
Biomass,PDP8,2013,NA
Biomass,PDP8,2014,NA
Biomass,PDP8,2015,NA
Biomass,PDP8,2016,NA
Biomass,PDP8,2017,NA
Biomass,PDP8,2018,NA
Biomass,PDP8,2019,NA
Biomass,PDP8,2020,NA
Biomass,PDP8,2021,NA
Biomass,PDP8,2022,NA
Biomass,PDP8,2023,NA
Biomass,PDP8,2024,NA
Biomass,PDP8,2025,276
Biomass,PDP8,2026,674.8
Biomass,PDP8,2027,1073.6
Biomass,PDP8,2028,1472.3999999999999
Biomass,PDP8,2029,1871.2
Biomass,PDP8,2030,2270
Biomass,PDP8,2031,2457.25
Biomass,PDP8,2032,2644.5
Biomass,PDP8,2033,2831.75
Biomass,PDP8,2034,3019
Biomass,PDP8,2035,3206.25
Biomass,PDP8,2036,3393.5
Biomass,PDP8,2037,3580.75
Biomass,PDP8,2038,3768
Biomass,PDP8,2039,3955.25
Biomass,PDP8,2040,4142.5
Biomass,PDP8,2041,4329.75
Biomass,PDP8,2042,4517
Biomass,PDP8,2043,4704.25
Biomass,PDP8,2044,4891.5
Biomass,PDP8,2045,5078.75
Biomass,PDP8,2046,5266
Biomass,PDP8,2047,5453.25
Biomass,PDP8,2048,5640.5
Biomass,PDP8,2049,5827.75
Biomass,PDP8,2050,6015
Coal,PDP8,2000,NA
Coal,PDP8,2001,NA
Coal,PDP8,2002,NA
Coal,PDP8,2003,NA
Coal,PDP8,2004,NA
Coal,PDP8,2005,NA
Coal,PDP8,2006,NA
Coal,PDP8,2007,NA
Coal,PDP8,2008,NA
Coal,PDP8,2009,NA
Coal,PDP8,2010,NA
Coal,PDP8,2011,NA
Coal,PDP8,2012,NA
Coal,PDP8,2013,NA
Coal,PDP8,2014,NA
Coal,PDP8,2015,NA
Coal,PDP8,2016,NA
Coal,PDP8,2017,NA
Coal,PDP8,2018,NA
Coal,PDP8,2019,NA
Coal,PDP8,2020,NA
Coal,PDP8,2021,NA
Coal,PDP8,2022,NA
Coal,PDP8,2023,NA
Coal,PDP8,2024,NA
Coal,PDP8,2025,29539
Coal,PDP8,2026,29671
Coal,PDP8,2027,29803
Coal,PDP8,2028,29935
Coal,PDP8,2029,30067
Coal,PDP8,2030,30199
Coal,PDP8,2031,28689.05
Coal,PDP8,2032,27179.1
Coal,PDP8,2033,25669.15
Coal,PDP8,2034,24159.2
Coal,PDP8,2035,22649.25
Coal,PDP8,2036,21139.300000000003
Coal,PDP8,2037,19629.35
Coal,PDP8,2038,18119.4
Coal,PDP8,2039,16609.449999999997
Coal,PDP8,2040,15099.5
Coal,PDP8,2041,13589.55
Coal,PDP8,2042,12079.600000000002
Coal,PDP8,2043,10569.649999999998
Coal,PDP8,2044,9059.7
Coal,PDP8,2045,7549.75
Coal,PDP8,2046,6039.799999999999
Coal,PDP8,2047,4529.850000000002
Coal,PDP8,2048,3019.899999999998
Coal,PDP8,2049,1509.9500000000007
Coal,PDP8,2050,0
Coal_CFB,PDP8,2000,0
Coal_CFB,PDP8,2001,0
Coal_CFB,PDP8,2002,0
Coal_CFB,PDP8,2003,0
Coal_CFB,PDP8,2004,0
Coal_CFB,PDP8,2005,111
Coal_CFB,PDP8,2006,111
Coal_CFB,PDP8,2007,226
Coal_CFB,PDP8,2008,226
Coal_CFB,PDP8,2009,446
Coal_CFB,PDP8,2010,1116
Coal_CFB,PDP8,2011,1116
Coal_CFB,PDP8,2012,1556
Coal_CFB,PDP8,2013,1556
Coal_CFB,PDP8,2014,1556
Coal_CFB,PDP8,2015,1676
Coal_CFB,PDP8,2016,2756
Coal_CFB,PDP8,2017,2756
Coal_CFB,PDP8,2018,3376
Coal_CFB,PDP8,2019,3376
Coal_CFB,PDP8,2020,3376
Coal_CFB,PDP8,2021,3376
Coal_CFB,PDP8,2022,3376
Coal_CFB,PDP8,2023,3376
Coal_CFB,PDP8,2024,3376
Coal_CFB,PDP8,2025,3376
Coal_CFB,PDP8,2026,3528
Coal_CFB,PDP8,2027,3680
Coal_CFB,PDP8,2028,3832
Coal_CFB,PDP8,2029,3984
Coal_CFB,PDP8,2030,4136
Coal_CFB,PDP8,2031,3929.2
Coal_CFB,PDP8,2032,3722.4
Coal_CFB,PDP8,2033,3515.6
Coal_CFB,PDP8,2034,3308.8
Coal_CFB,PDP8,2035,3102
Coal_CFB,PDP8,2036,2895.2
Coal_CFB,PDP8,2037,2688.4
Coal_CFB,PDP8,2038,2481.6
Coal_CFB,PDP8,2039,2274.8
Coal_CFB,PDP8,2040,2068
Coal_CFB,PDP8,2041,1861.1999999999998
Coal_CFB,PDP8,2042,1654.4
Coal_CFB,PDP8,2043,1447.6
Coal_CFB,PDP8,2044,1240.8000000000002
Coal_CFB,PDP8,2045,1034
Coal_CFB,PDP8,2046,827.1999999999998
Coal_CFB,PDP8,2047,620.4000000000001
Coal_CFB,PDP8,2048,413.5999999999999
Coal_CFB,PDP8,2049,206.80000000000018
Coal_CFB,PDP8,2050,0
Coal_conv_biomassNH3,PDP8,2000,NA
Coal_conv_biomassNH3,PDP8,2001,NA
Coal_conv_biomassNH3,PDP8,2002,NA
Coal_conv_biomassNH3,PDP8,2003,NA
Coal_conv_biomassNH3,PDP8,2004,NA
Coal_conv_biomassNH3,PDP8,2005,NA
Coal_conv_biomassNH3,PDP8,2006,NA
Coal_conv_biomassNH3,PDP8,2007,NA
Coal_conv_biomassNH3,PDP8,2008,NA
Coal_conv_biomassNH3,PDP8,2009,NA
Coal_conv_biomassNH3,PDP8,2010,NA
Coal_conv_biomassNH3,PDP8,2011,NA
Coal_conv_biomassNH3,PDP8,2012,NA
Coal_conv_biomassNH3,PDP8,2013,NA
Coal_conv_biomassNH3,PDP8,2014,NA
Coal_conv_biomassNH3,PDP8,2015,NA
Coal_conv_biomassNH3,PDP8,2016,NA
Coal_conv_biomassNH3,PDP8,2017,NA
Coal_conv_biomassNH3,PDP8,2018,NA
Coal_conv_biomassNH3,PDP8,2019,NA
Coal_conv_biomassNH3,PDP8,2020,NA
Coal_conv_biomassNH3,PDP8,2021,NA
Coal_conv_biomassNH3,PDP8,2022,NA
Coal_conv_biomassNH3,PDP8,2023,NA
Coal_conv_biomassNH3,PDP8,2024,NA
Coal_conv_biomassNH3,PDP8,2025,0
Coal_conv_biomassNH3,PDP8,2026,0
Coal_conv_biomassNH3,PDP8,2027,0
Coal_conv_biomassNH3,PDP8,2028,0
Coal_conv_biomassNH3,PDP8,2029,0
Coal_conv_biomassNH3,PDP8,2030,0
Coal_conv_biomassNH3,PDP8,2031,0
Coal_conv_biomassNH3,PDP8,2032,0
Coal_conv_biomassNH3,PDP8,2033,0
Coal_conv_biomassNH3,PDP8,2034,0
Coal_conv_biomassNH3,PDP8,2035,0
Coal_conv_biomassNH3,PDP8,2036,0
Coal_conv_biomassNH3,PDP8,2037,0
Coal_conv_biomassNH3,PDP8,2038,0
Coal_conv_biomassNH3,PDP8,2039,0
Coal_conv_biomassNH3,PDP8,2040,0
Coal_conv_biomassNH3,PDP8,2041,0
Coal_conv_biomassNH3,PDP8,2042,0
Coal_conv_biomassNH3,PDP8,2043,0
Coal_conv_biomassNH3,PDP8,2044,0
Coal_conv_biomassNH3,PDP8,2045,0
Coal_conv_biomassNH3,PDP8,2046,0
Coal_conv_biomassNH3,PDP8,2047,0
Coal_conv_biomassNH3,PDP8,2048,0
Coal_conv_biomassNH3,PDP8,2049,0
Coal_conv_biomassNH3,PDP8,2050,0
Coal_conv_biomassNH3_CFB,PDP8,2000,NA
Coal_conv_biomassNH3_CFB,PDP8,2001,NA
Coal_conv_biomassNH3_CFB,PDP8,2002,NA
