Year,Value,Unit,Country,Sector,Source,Scenario,DataType,Method,Notes
2030,407,MtCO2e,Viet Nam,All energy sectors,DEA_KeyMetrics_EORNZ,BSL,Projected,DEA BSL net CO2eq emissions.,Read from DEA_KeyMetrics_EORNZ.
2050,239,MtCO2e,Viet Nam,All energy sectors,DEA_KeyMetrics_EORNZ,BSL,Projected,DEA BSL net CO2eq emissions.,Read from DEA_KeyMetrics_EORNZ.
2030,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ,BSL,Projected,All energy sectors minus power sector.,Derived from DEA_KeyMetrics_EORNZ BSL values.
2050,169,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ,BSL,Projected,All energy sectors minus power sector.,Derived from DEA_KeyMetrics_EORNZ BSL values.
2030,173,MtCO2e,Viet Nam,Power sector,DEA_KeyMetrics_EORNZ,BSL,Projected,DEA BSL net CO2eq emissions.,Read from DEA_KeyMetrics_EORNZ.
2050,70,MtCO2e,Viet Nam,Power sector,DEA_KeyMetrics_EORNZ,BSL,Projected,DEA BSL net CO2eq emissions.,Read from DEA_KeyMetrics_EORNZ.
2000,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2001,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2002,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2003,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2004,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2005,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
2006,234,MtCO2e,Viet Nam,Non-power energy,DEA_KeyMetrics_EORNZ interpolation,BSL,Interpolated,Linear interpolation/extrapolation of DEA BSL non-power emissions.,Used as non-power component of the combined overall pathway.
