Year,TechType,Mean_CAPEX,Base_CAPEX,Index_Value
2020,Fossil,2253.733333333333,2253.733333333333,100
2021,Fossil,2253.733333333333,2253.733333333333,100
2022,Fossil,2253.733333333333,2253.733333333333,100
2023,Fossil,2253.733333333333,2253.733333333333,100
2024,Fossil,2253.733333333333,2253.733333333333,100
2025,Fossil,2253.733333333333,2253.733333333333,100
2026,Fossil,2253.733333333333,2253.733333333333,100
2027,Fossil,2253.733333333333,2253.733333333333,100
2028,Fossil,2253.733333333333,2253.733333333333,100
2029,Fossil,2253.733333333333,2253.733333333333,100
2030,Fossil,2074.733333333333,2253.733333333333,92.05762290717624
2031,Fossil,2074.733333333333,2253.733333333333,92.05762290717624
2032,Fossil,2074.733333333333,2253.733333333333,92.05762290717624
2033,Fossil,2074.733333333333,2253.733333333333,92.05762290717624
2034,Fossil,2074.733333333333,2253.733333333333,92.05762290717624
2035,Fossil,2065.375,2253.733333333333,91.64238596698812
2036,Fossil,2065.375,2253.733333333333,91.64238596698812
2037,Fossil,2065.375,2253.733333333333,91.64238596698812
2038,Fossil,2065.375,2253.733333333333,91.64238596698812
2039,Fossil,2065.375,2253.733333333333,91.64238596698812
2040,Fossil,2065.375,2253.733333333333,91.64238596698812
2041,Fossil,2065.375,2253.733333333333,91.64238596698812
2042,Fossil,2065.375,2253.733333333333,91.64238596698812
2043,Fossil,2065.375,2253.733333333333,91.64238596698812
2044,Fossil,2065.375,2253.733333333333,91.64238596698812
2045,Fossil,2065.375,2253.733333333333,91.64238596698812
2046,Fossil,2065.375,2253.733333333333,91.64238596698812
2047,Fossil,2065.375,2253.733333333333,91.64238596698812
2048,Fossil,2065.375,2253.733333333333,91.64238596698812
2049,Fossil,2065.375,2253.733333333333,91.64238596698812
2050,Fossil,1950.125,2253.733333333333,86.52864876057505
2020,Renewable,4543.333333333333,4543.333333333333,100
2021,Renewable,4543.333333333333,4543.333333333333,100
2022,Renewable,4543.333333333333,4543.333333333333,100
2023,Renewable,4543.333333333333,4543.333333333333,100
2024,Renewable,4543.333333333333,4543.333333333333,100
2025,Renewable,4543.333333333333,4543.333333333333,100
2026,Renewable,4543.333333333333,4543.333333333333,100
2027,Renewable,4543.333333333333,4543.333333333333,100
2028,Renewable,4543.333333333333,4543.333333333333,100
2029,Renewable,4543.333333333333,4543.333333333333,100
2030,Renewable,4207,4543.333333333333,92.59721203228175
2031,Renewable,4207,4543.333333333333,92.59721203228175
2032,Renewable,4207,4543.333333333333,92.59721203228175
2033,Renewable,4207,4543.333333333333,92.59721203228175
2034,Renewable,4207,4543.333333333333,92.59721203228175
2035,Renewable,4207,4543.333333333333,92.59721203228175
2036,Renewable,4207,4543.333333333333,92.59721203228175
2037,Renewable,4207,4543.333333333333,92.59721203228175
2038,Renewable,4207,4543.333333333333,92.59721203228175
2039,Renewable,4207,4543.333333333333,92.59721203228175
2040,Renewable,4207,4543.333333333333,92.59721203228175
2041,Renewable,4207,4543.333333333333,92.59721203228175
2042,Renewable,4207,4543.333333333333,92.59721203228175
2043,Renewable,4207,4543.333333333333,92.59721203228175
2044,Renewable,4207,4543.333333333333,92.59721203228175
2045,Renewable,4207,4543.333333333333,92.59721203228175
2046,Renewable,4207,4543.333333333333,92.59721203228175
2047,Renewable,4207,4543.333333333333,92.59721203228175
2048,Renewable,4207,4543.333333333333,92.59721203228175
2049,Renewable,4207,4543.333333333333,92.59721203228175
2050,Renewable,3766.6666666666665,4543.333333333333,82.90535583272194
