Year,TechType,Total_Capacity_MW,Base_Capacity,Index_Value
2000,Fossil,2430,38460,6.3182527301092
2001,Fossil,2430,38460,6.3182527301092
2002,Fossil,3020,38460,7.8523140925637
2003,Fossil,3500,38460,9.10036401456058
2004,Fossil,4960,38460,12.8965158606344
2005,Fossil,5690,38460,14.7945917836713
2006,Fossil,5810,38460,15.1066042641706
2007,Fossil,6580,38460,17.1086843473739
2008,Fossil,8080,38460,21.0088403536141
2009,Fossil,9400,38460,24.4409776391056
2010,Fossil,9700,38460,25.2210088403536
2011,Fossil,11730,38460,30.4992199687988
2012,Fossil,12180,38460,31.6692667706708
2013,Fossil,13220,38460,34.3733749349974
2014,Fossil,16320,38460,42.4336973478939
2015,Fossil,21130,38460,54.9401976079043
2016,Fossil,21430,38460,55.7202288091524
2017,Fossil,23720,38460,61.6744669786791
2018,Fossil,25950,38460,67.4726989079563
2019,Fossil,27150,38460,70.5928237129485
2020,Fossil,28440,38460,73.9469578783151
2021,Fossil,30840,38460,80.1872074882995
2022,Fossil,32760,38460,85.1794071762871
2023,Fossil,34670,38460,90.145605824233
2024,Fossil,35390,38460,92.0176807072283
2025,Fossil,38460,38460,100
2026,Fossil,46349.8,38460,120.514300572023
2027,Fossil,54239.6,38460,141.028601144046
2028,Fossil,62129.4,38460,161.542901716069
2029,Fossil,70019.2,38460,182.057202288092
2030,Fossil,77909,38460,202.571502860114
2031,Fossil,80687.85,38460,209.796801872075
2032,Fossil,83466.7,38460,217.022100884035
2033,Fossil,86245.55,38460,224.247399895996
2034,Fossil,89024.4,38460,231.472698907956
2035,Fossil,91803.25,38460,238.697997919917
2036,Fossil,94582.1,38460,245.923296931877
2037,Fossil,97360.95,38460,253.148595943838
2038,Fossil,100139.8,38460,260.373894955798
2039,Fossil,102918.65,38460,267.599193967759
2040,Fossil,105697.5,38460,274.824492979719
2041,Fossil,108476.35,38460,282.04979199168
2042,Fossil,111255.2,38460,289.27509100364
2043,Fossil,114034.05,38460,296.500390015601
2044,Fossil,116812.9,38460,303.725689027561
2045,Fossil,119591.75,38460,310.950988039522
2046,Fossil,122370.6,38460,318.176287051482
2047,Fossil,125149.45,38460,325.401586063443
2048,Fossil,127928.3,38460,332.626885075403
2049,Fossil,130707.15,38460,339.852184087364
2050,Fossil,133486,38460,347.077483099324
2000,Renewable,3400,48569,7.00035001750087
2001,Renewable,3940,48569,8.11217031439807
2002,Renewable,4250,48569,8.75043752187609
2003,Renewable,4300,48569,8.85338384566287
2004,Renewable,4340,48569,8.93574090469229
2005,Renewable,4400,48569,9.05927649323642
2006,Renewable,4640,48569,9.55341884741296
2007,Renewable,5040,48569,10.3769894377072
2008,Renewable,6040,48569,12.4359159134427
2009,Renewable,7320,48569,15.0713418023842
2010,Renewable,8810,48569,18.1391422512302
2011,Renewable,10240,48569,21.083407111532
2012,Renewable,13710,48569,28.2278819823344
2013,Renewable,14900,48569,30.6780044884597
2014,Renewable,16010,48569,32.9634128765262
2015,Renewable,17000,48569,35.0017500875044
2016,Renewable,18280,48569,37.6371759764459
2017,Renewable,18290,48569,37.6577652412032
2018,Renewable,18710,48569,38.5225143610122
2019,Renewable,26070,48569,53.6762132224258
2020,Renewable,38390,48569,79.0421874034878
2021,Renewable,43000,48569,88.5338384566287
2022,Renewable,44680,48569,91.9928349358644
2023,Renewable,47780,48569,98.3755070106447
2024,Renewable,48980,48569,100.846218781527
2025,Renewable,48569,48569,100
2026,Renewable,76956.2,48569,158.447157652
2027,Renewable,105343.4,48569,216.894315304
2028,Renewable,133730.6,48569,275.341472956001
2029,Renewable,162117.8,48569,333.788630608001
2030,Renewable,190505,48569,392.235788260001
2031,Renewable,215668.5,48569,444.045584632173
2032,Renewable,240832,48569,495.855381004344
2033,Renewable,265995.5,48569,547.665177376516
2034,Renewable,291159,48569,599.474973748687
2035,Renewable,316322.5,48569,651.284770120859
2036,Renewable,341486,48569,703.09456649303
2037,Renewable,366649.5,48569,754.904362865202
2038,Renewable,391813,48569,806.714159237374
2039,Renewable,416976.5,48569,858.523955609545
2040,Renewable,442140,48569,910.333751981717
2041,Renewable,467303.5,48569,962.143548353888
2042,Renewable,492467,48569,1013.95334472606
2043,Renewable,517630.5,48569,1065.76314109823
2044,Renewable,542794,48569,1117.5729374704
2045,Renewable,567957.5,48569,1169.38273384257
2046,Renewable,593121,48569,1221.19253021475
2047,Renewable,618284.5,48569,1273.00232658692
2048,Renewable,643448,48569,1324.81212295909
2049,Renewable,668611.5,48569,1376.62191933126
2050,Renewable,693775,48569,1428.43171570343
