Year,Fossil_TWh,Renewable_TWh,Fossil_Index,Renewable_Index
2025,174.8,127.39999999999999,100,100
2026,180.59966257668714,152.61917524251032,103.31788476927181,119.79527099098142
2027,186.39932515337424,177.83835048502067,106.63576953854361,139.59054198196284
2028,192.19898773006136,203.05752572753102,109.95365430781541,159.3858129729443
2029,197.99865030674846,228.27670097004136,113.2715390770872,179.18108396392574
2030,203.79831288343559,253.4958762125517,116.58942384635903,198.97635495490715
2031,199.35931748466257,290.413780333097,114.04995279442937,227.95430167433048
2032,194.92032208588958,327.3316844536423,111.51048174249976,256.9322483937538
2033,190.48132668711656,364.24958857418756,108.97101069057011,285.91019511317705
2034,186.04233128834358,401.1674926947329,106.43153963864049,314.8881418326004
2035,181.60333588957056,438.08539681527816,103.89206858671083,343.86608855202365
2036,177.16434049079754,475.0033009358234,101.35259753478118,372.84403527144696
2037,172.72534509202455,511.9212050563687,98.81312648285157,401.8219819908703
2038,168.28634969325154,548.839109176914,96.27365543092192,430.79992871029356
2039,163.84735429447852,585.7570132974593,93.73418437899228,459.77787542971686
2040,159.40835889570553,622.6749174180046,91.19471332706266,488.7558221491402
2041,154.96936349693252,659.59282153855,88.65524227513302,517.7337688685636
2042,150.5303680981595,696.5107256590952,86.11577122320338,546.7117155879869
2043,146.0913726993865,733.4286297796405,83.57630017127374,575.6896623074101
2044,141.65237730061352,770.3465339001857,81.0368291193441,604.6676090268334
2045,137.21338190184048,807.2644380207311,78.49735806741445,633.6455557462567
2046,132.7743865030675,844.1823421412764,75.95788701548483,662.6235024656802
2047,128.3353911042945,881.1002462618217,73.4184159635552,691.6014491851034
2048,123.89639570552147,918.0181503823669,70.87894491162555,720.5793959045267
2049,119.45740030674848,954.9360545029122,68.33947385969591,749.5573426239499
2050,115.01840490797547,991.8539586234575,65.80000280776628,778.5352893433733
