"","Technology","Plan","Year","Capacity_MW","CAPEX_kUSD_MW","CAPEX_kUSD_MW_lwr","CAPEX_kUSD_MW_upr","CAP_MIOUSD","CAP_MIOUSD_lwr","CAP_MIOUSD_upr","delta_cap","INV_MIOUSD","INV_MIOUSD_lwr","INV_MIOUSD_upr","CAP_GW_Add"
"1","Coal_PVC","PDP8",2000,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","Coal_PVC","PDP8",2001,550,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"3","Coal_PVC","PDP8",2002,1140,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,0.59
"4","Coal_PVC","PDP8",2003,1140,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"5","Coal_PVC","PDP8",2004,1390,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,0.25
"6","Coal_PVC","PDP8",2005,1279,NA,NA,NA,NA,NA,NA,-111,NA,NA,NA,0
"7","Coal_PVC","PDP8",2006,1399,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,0.12
"8","Coal_PVC","PDP8",2007,1584,NA,NA,NA,NA,NA,NA,185,NA,NA,NA,0.185
"9","Coal_PVC","PDP8",2008,1584,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"10","Coal_PVC","PDP8",2009,1884,NA,NA,NA,NA,NA,NA,300,NA,NA,NA,0.3
"11","Coal_PVC","PDP8",2010,1514,NA,NA,NA,NA,NA,NA,-370,NA,NA,NA,0
"12","Coal_PVC","PDP8",2011,2794,NA,NA,NA,NA,NA,NA,1280,NA,NA,NA,1.28
"13","Coal_PVC","PDP8",2012,2804,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,0.01
"14","Coal_PVC","PDP8",2013,3844,NA,NA,NA,NA,NA,NA,1040,NA,NA,NA,1.04
"15","Coal_PVC","PDP8",2014,6944,NA,NA,NA,NA,NA,NA,3100,NA,NA,NA,3.1
"16","Coal_PVC","PDP8",2015,11304,NA,NA,NA,NA,NA,NA,4360,NA,NA,NA,4.36
"17","Coal_PVC","PDP8",2016,10524,NA,NA,NA,NA,NA,NA,-780,NA,NA,NA,0
"18","Coal_PVC","PDP8",2017,12814,NA,NA,NA,NA,NA,NA,2290,NA,NA,NA,2.29
"19","Coal_PVC","PDP8",2018,14424,NA,NA,NA,NA,NA,NA,1610,NA,NA,NA,1.61
"20","Coal_PVC","PDP8",2019,15624,NA,NA,NA,NA,NA,NA,1200,NA,NA,NA,1.2
"21","Coal_PVC","PDP8",2020,16914,1789,1634,1944,30259.146,27637.476,32880.816,1290,2307.81,2107.86,2507.76,1.29
"22","Coal_PVC","PDP8",2021,19314,1789,1634,1944,34552.746,31559.076,37546.416,2400,4293.6,3921.6,4665.6,2.4
"23","Coal_PVC","PDP8",2022,21234,1789,1634,1944,37987.626,34696.356,41278.896,1920,3434.88,3137.28,3732.48,1.92
"24","Coal_PVC","PDP8",2023,23144,1789,1634,1944,41404.616,37817.296,44991.936,1910,3416.99,3120.94,3713.04,1.91
"25","Coal_PVC","PDP8",2024,23864,1789,1634,1944,42692.696,38993.776,46391.616,720,1288.08,1176.48,1399.68,0.72
"26","Coal_PVC","PDP8",2025,26163,1789,1634,1944,46805.607,42750.342,50860.872,2299,4112.911,3756.566,4469.256,2.299
"27","Coal_PVC","PDP8",2026,26143,1789,1634,1944,46769.827,42717.662,50821.992,-20,0,0,0,0
"28","Coal_PVC","PDP8",2027,26123,1789,1634,1944,46734.047,42684.982,50783.112,-20,0,0,0,0
"29","Coal_PVC","PDP8",2028,26103,1789,1634,1944,46698.267,42652.302,50744.232,-20,0,0,0,0
"30","Coal_PVC","PDP8",2029,26083,1789,1634,1944,46662.487,42619.622,50705.352,-20,0,0,0,0
"31","Coal_PVC","PDP8",2030,26063,1698,1543,1853,44254.974,40215.209,48294.739,-20,0,0,0,0
"32","Coal_PVC","PDP8",2031,24759.85,1698,1543,1853,42042.2253,38204.44855,45880.00205,-1303.15,0,0,0,0
"33","Coal_PVC","PDP8",2032,23456.7,1698,1543,1853,39829.4766,36193.6881,43465.2651,-1303.15,0,0,0,0
"34","Coal_PVC","PDP8",2033,22153.55,1698,1543,1853,37616.7279,34182.92765,41050.52815,-1303.15,0,0,0,0
"35","Coal_PVC","PDP8",2034,20850.4,1698,1543,1853,35403.9792,32172.1672,38635.7912,-1303.15,0,0,0,0
"36","Coal_PVC","PDP8",2035,19547.25,1698,1543,1853,33191.2305,30161.40675,36221.05425,-1303.15,0,0,0,0
"37","Coal_PVC","PDP8",2036,18244.1,1698,1543,1853,30978.4818,28150.6463,33806.3173,-1303.15,0,0,0,0
"38","Coal_PVC","PDP8",2037,16940.95,1698,1543,1853,28765.7331,26139.88585,31391.58035,-1303.15,0,0,0,0
"39","Coal_PVC","PDP8",2038,15637.8,1698,1543,1853,26552.9844,24129.1254,28976.8434,-1303.15,0,0,0,0
"40","Coal_PVC","PDP8",2039,14334.65,1698,1543,1853,24340.2357,22118.36495,26562.10645,-1303.15,0,0,0,0
"41","Coal_PVC","PDP8",2040,13031.5,1698,1543,1853,22127.487,20107.6045,24147.3695,-1303.15,0,0,0,0
"42","Coal_PVC","PDP8",2041,11728.35,1698,1543,1853,19914.7383,18096.84405,21732.63255,-1303.15,0,0,0,0
"43","Coal_PVC","PDP8",2042,10425.2,1698,1543,1853,17701.9896,16086.0836,19317.8956,-1303.15,0,0,0,0
"44","Coal_PVC","PDP8",2043,9122.05,1698,1543,1853,15489.2409,14075.32315,16903.15865,-1303.15,0,0,0,0
"45","Coal_PVC","PDP8",2044,7818.9,1698,1543,1853,13276.4922,12064.5627,14488.4217,-1303.15,0,0,0,0
"46","Coal_PVC","PDP8",2045,6515.75,1698,1543,1853,11063.7435,10053.80225,12073.68475,-1303.15,0,0,0,0
"47","Coal_PVC","PDP8",2046,5212.6,1698,1543,1853,8850.9948,8043.0418,9658.9478,-1303.15,0,0,0,0
"48","Coal_PVC","PDP8",2047,3909.45,1698,1543,1853,6638.2461,6032.28135,7244.21085,-1303.15,0,0,0,0
"49","Coal_PVC","PDP8",2048,2606.3,1698,1543,1853,4425.4974,4021.5209,4829.4739,-1303.15,0,0,0,0
"50","Coal_PVC","PDP8",2049,1303.15,1698,1543,1853,2212.7487,2010.76045,2414.73695,-1303.15,0,0,0,0
"51","Coal_PVC","PDP8",2050,0,1674,1519,1829,0,0,0,-1303.15,0,0,0,0
"52","Coal_PVC","PDP8_rev_low",2000,550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"53","Coal_PVC","PDP8_rev_low",2001,550,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"54","Coal_PVC","PDP8_rev_low",2002,1140,NA,NA,NA,NA,NA,NA,590,NA,NA,NA,0.59
"55","Coal_PVC","PDP8_rev_low",2003,1140,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,0
"56","Coal_PVC","PDP8_rev_low",2004,1390,NA,NA,NA,NA,NA,NA,250,NA,NA,NA,0.25
"57","Coal_PVC","PDP8_rev_low",2005,1279,NA,NA,NA,NA,NA,NA,-111,NA,NA,NA,0
"58","Coal_PVC","PDP8_rev_low",2006,1399,NA,NA,NA,NA,NA,NA,120,NA,NA,NA,0.12
