V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12
"Intermediate Input Shares and Sectoral Accounts (phiQI, phiX, phiM_I, phiW, phiY0, phiN0)",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Aggregate Sector,Subsector,Primary,Fossil,Renewables,Secondary,Tertiary,Exports (phiX),Imports Intermediate (phiM_I),Labour (phiW),Value Added (phiY0),Employment Share (phiN0)
"Intermediate input matrix phiQI [row=using, col=supplying]",NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Primary,Primary,0.0144222269304676,0.00373203422197252,0.000366163017465422,0.0270460723021061,0.00497520146338073,0.00696061357776502,0.0213453989397538,0.03952593401003,0.0438490218797826,0.184219369117872
Energy,Fossil,0.00064131046250133,0.0119814350752675,0.000262936200857761,0.00342080646961404,0.00266445741596313,0.00461393299633571,0.019046009569366,0.00622250548616622,0.0186175196511867,0.0290013648938226
Energy,Renewables,1.280984048025e-05,0.00165367250847013,6.72760934804738e-05,0.000553826819472627,0.000390253282396369,5.94584490109265e-05,0.000353631006751602,0.000722040212268816,0.0033232510115608,0.00336522831688537
Secondary,Secondary,0.0682890607273026,0.0209100803164061,0.00317746981052693,0.332304892389546,0.0525343162839348,0.262089452443859,0.181111309312077,0.0763289422675271,0.112422074941918,0.35574793972965
Tertiary,Tertiary,0.005897909318092,0.0128747869078953,0.00150301451541214,0.0371544012217515,0.0506785278794848,0.0336508607041189,0.0255262414624216,0.0917596344321297,0.152319844922846,0.427666097941771
NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Final Imports (phiM_F),NaN,0.00355410089734362,0.00163033360104539,1.24347763588485e-05,0.0382628872177005,0.00318515838400662,NaN,NaN,NaN,NaN,NaN
