Sector,Primary,MiningEnergy,Refinery,Secondary,Tertiary,CONS,GC,GFCF,INVNT,DPABR,CONS_NONRES,EXPO,IMPO,TOTAL,Utilities_Fossil,Utilities_Renewables
Primary,307990714.072384,13008169.1168389,60836.0071106778,1458332106.27843,125951512.978615,247578539.406518,0,40393133.6650326,56187432.5697128,0,0,148645861.456312,367273753.484015,2031774470.06255,626360.247857901,273557.7477519
MiningEnergy,539660.419067057,15102740.6377959,124167244.506665,165898198.295324,4859615.93781738,28698316.4733525,0,0,8734330.19718963,0,0,49067364.994238,167432152.985493,324181471.02,65805942.1307268,28740210.4133171
Refinery,61254779.4992302,27282234.8296171,3130764.14224941,125274334.597292,196592476.215915,36320704.5767183,0,0,-9403430.97864541,0,0,46557144.2870937,292537384.279432,205277719.64,7521251.34923645,3284845.40072511
Utilities,25723715.2368886,5371321.3537674,2278803.36671846,223223877.565745,105589902.713272,52442047.8997046,0,0,-0.623439586721361,0,0,4177079.98303944,4329158.17099713,430025566.602808,10821691.4753513,4726285.80275842
Secondary,577576483.946568,40542122.2341847,5429801.48457399,7096464477.38182,793442692.199275,1560235614.69262,0,2181424571.58496,62157624.27157,0,0,5596994000.87077,5207372374.9516,12745802502.2243,27080360.9498544,11827127.559716
Tertiary,106246827.11957,24897785.6227351,12920314.2786245,1121885105.78851,1082254222.24955,1998591438.95521,737283523.254424,28195996.6821839,0,0,0,718623598.656401,240095279.286499,5618219639.88471,19082137.9131162,8333968.65087689
TXS_IMP_FNL,5888870.50901307,4967180.22996851,1158530.50188995,23664300.5235431,59198433.3644615,0,0,0,0,0,0,0,0,0,3860257.55663526,1685936.11511401
TXS_INT_FNL,5888870.50901307,4967180.22996851,1158530.50188995,23664300.5235431,59198433.3644615,0,0,0,0,0,0,0,0,0,3860257.55663526,1685936.11511401
TTL_INT_FNL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VALU,936408200.012421,192120223.174722,42965796.9715149,2400805042.50794,3252833146.45923,0,0,0,0,0,0,0,0,0,162496350.403781,70968960.4127728
OUTPUT,2031774469.83655,324181471.02,205277719.64,12745802502.2243,5618219640.00076,0,0,0,0,0,0,0,0,0,299306072.104995,130719494.497814
LAB,844087442.169541,76214008.4238059,21363888.9572406,1630026038.74596,1959552811.64448,0,0,0,0,0,0,0,0,0,35305458.0981979,15419371.8929673
