metric,value
Q0_total_output,21355281369.3244
IMP_TOTAL_Primary,367273753.484015
IMP_TOTAL_Fossil,462982714.68579
IMP_TOTAL_Renewables,1315980.75013182
IMP_TOTAL_Secondary,5207372374.9516
IMP_TOTAL_Tertiary,240095279.286499
IMP_INT_Primary,291374928.806274
IMP_INT_Fossil,428166481.909602
IMP_INT_Renewables,1050432.60222399
IMP_INT_Secondary,4390257652.41488
IMP_INT_Tertiary,172075325.790175
IMP_FIN_Primary,75898824.6777413
IMP_FIN_Fossil,34816232.7761883
IMP_FIN_Renewables,265548.147907834
IMP_FIN_Secondary,817114722.536721
IMP_FIN_Tertiary,68019953.4963241
